columns,lr_training_r2,lr_rmse,dt_rmse,gbdt_rmse,,
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions']|,0.97497267,446.5728952,2692.634735,2712.891041
|['new_cases_last_week', 'T_CU_new', 'T_GU_positive']|,0.973550711,535.1256823,3121.457072,3118.435961
|['new_cases_last_week', 'T_CU_new', 'T_CB_covid-cases']|,0.975367986,543.2946234,2794.011912,2871.086693
|['new_cases_last_week', 'T_CU_new', 'T_GB_coronavirus-in']|,0.97376633,547.6559285,2794.011912,2731.003408
|['new_cases_last_week', 'T_CU_new', 'T_CU_corona']|,0.97702002,558.1769399,2794.011912,2605.803648
|['new_cases_last_week', 'T_CU_new', 'G_virus']|,0.980281797,573.5433282,2584.76735,2513.978946
|['new_cases_last_week', 'T_CU_new', 'T_CB_covid19-pandemic']|,0.975039633,580.7867532,4337.530461,4290.503062
|['new_cases_last_week', 'T_CU_new', 'T_CU_tests']|,0.973284361,594.619946,2794.011912,2828.524398
|['new_cases_last_week', 'T_CU_new', 'T_CB_tested-positive']|,0.973177521,595.4370007,2794.011912,2768.162222
|['new_cases_last_week', 'T_CU_new', 'T_GB_covid19-in']|,0.974515192,595.5496127,3121.457072,3253.329427
|['new_cases_last_week', 'T_CU_new', 'T_CU_testing']|,0.973161728,595.971798,2794.011912,2768.720094
|['new_cases_last_week', 'T_CU_new', 'T_CU_quarantinepositive']|,0.973156116,596.6767529,2794.011912,2773.688869
|['new_cases_last_week', 'T_CU_new', 'G_flu']|,0.973156934,596.926806,2794.011912,2821.708752
|['new_cases_last_week', 'T_CU_new', 'T_GB_cases-of']|,0.973610984,597.685908,2546.128695,2587.804489
|['new_cases_last_week', 'T_CU_new', 'G_covid']|,0.977719275,599.6844739,2584.76735,2611.25692
|['new_cases_last_week', 'T_CU_new', 'T_GU_corona']|,0.97770724,601.4831414,2281.865465,2266.388608
|['new_cases_last_week', 'T_CU_new', 'T_GB_new-cases']|,0.977402151,601.5320484,2794.011912,3011.269932
|['new_cases_last_week', 'T_CU_new', 'T_GB_spread-of']|,0.97656284,603.2760691,2794.011912,2702.788098
|['new_cases_last_week', 'T_CU_new', 'T_GB_tested-positive']|,0.97319058,603.7572554,2794.011912,2792.351438
|['new_cases_last_week', 'T_CU_new', 'T_CU_ottawa']|,0.973530044,604.4413982,4995.048381,4916.704902
|['new_cases_last_week', 'T_CU_new', 'T_CB_spread-of']|,0.973226461,607.2959421,2794.011912,2573.402108
|['new_cases_last_week', 'T_CU_new', 'T_GB_face-masks']|,0.97324417,608.9632791,3121.457072,3096.139499
|['new_cases_last_week', 'T_CU_new', 'T_CU_deaths']|,0.974172444,609.6258586,3861.662815,3887.128801
|['new_cases_last_week', 'T_CU_new', 'G_sick']|,0.973522569,617.2496922,2901.816656,2275.250326
|['new_cases_last_week', 'T_CU_new', 'T_CU_covid19']|,0.976478521,623.6132191,2794.011912,2750.853186
|['new_cases_last_week', 'T_CU_new', 'T_GU_deaths']|,0.974053427,628.9967044,3121.457072,3139.005173
|['new_cases_last_week', 'T_CU_new', 'T_GB_covid19-cases']|,0.976955968,630.8123843,2794.011912,2679.516628
|['new_cases_last_week', 'T_CU_new', 'T_GB_the-virus']|,0.977123341,632.4120135,2584.76735,2568.376971
|['new_cases_last_week', 'T_CU_new', 'G_symptoms']|,0.974095102,634.8889419,2198.221459,1871.71666
|['new_cases_last_week', 'T_CU_new', 'T_CB_have-increased']|,0.976704019,636.6876665,2794.011912,2787.664908
|['new_cases_last_week', 'T_CU_new', 'T_CU_pandemic']|,0.973279764,642.9883311,2794.011912,2993.164923
|['new_cases_last_week', 'T_CU_new', 'T_CB_canada-covid19']|,0.973272179,644.6774236,2794.011912,2738.687567
|['new_cases_last_week', 'T_CU_new', 'T_CB_social-distancing']|,0.973487203,649.2901788,3121.457072,3228.076172
|['new_cases_last_week', 'T_CU_new', 'G_fever']|,0.977139869,652.3811639,2901.816656,2933.807632
|['new_cases_last_week', 'T_CU_new', 'T_GB_covid19-pandemic']|,0.977518298,668.549775,3170.338615,3111.000187
|['new_cases_last_week', 'T_CU_new', 'T_GB_covid19-testing']|,0.974300362,675.1150366,2198.221459,2171.530462
|['new_cases_last_week', 'T_CU_new', 'T_CU_case']|,0.974289999,685.3117996,2281.865465,2107.22671
|['new_cases_last_week', 'T_CU_new', 'T_CB_new-covid19']|,0.979428655,696.4373877,3636.084094,3638.854072
|['new_cases_last_week', 'T_CU_new', 'T_GU_death']|,0.974043857,708.3679678,3948.65547,3825.57103
|['new_cases_last_week', 'T_CU_new', 'active_cases']|,0.974290396,709.052979,2794.011912,2779.466488
|['new_cases_last_week', 'T_CU_new', 'G_tired']|,0.974863357,719.8646771,2198.221459,2319.673237
|['new_cases_last_week', 'T_CU_new', 'T_CB_covid19-cases']|,0.978926361,739.946172,2794.011912,2853.235223
|['new_cases_last_week', 'T_CU_new', 'T_GB_covid-19']|,0.980897911,758.0076077,2794.011912,2893.118655
|['new_cases_last_week', 'T_CU_new', 'T_CU_coronavirus']|,0.978784654,761.38364,3318.647943,3466.863531
|['new_cases_last_week', 'T_CU_new', 'T_GU_crisis']|,0.980361001,773.3641775,3191.339152,3157.77409
|['new_cases_last_week', 'T_CU_new', 'T_CU_death']|,0.97726716,780.9494668,2794.011912,2817.259413
|['new_cases_last_week', 'T_CU_new', 'T_GB_coronavirus-cases']|,0.980132707,798.6049093,2546.128695,2829.821441
|['new_cases_last_week', 'T_CU_new', 'T_CU_cases']|,0.978912725,822.393227,2546.128695,2596.428769
|['new_cases_last_week', 'T_CU_new', 'G_headache']|,0.976220751,844.6846526,2794.011912,2696.847689
|['new_cases_last_week', 'T_CU_new', 'T_CU_ontario']|,0.97529122,845.8283475,4337.530461,4198.354921
|['new_cases_last_week', 'T_CU_new', 'G_fatigue']|,0.975782369,850.3973371,3799.924495,3915.263085
|['new_cases_last_week', 'T_CU_new', 'T_GB_to-wear']|,0.975432663,873.745306,2782.560599,2717.224733
|['new_cases_last_week', 'T_CU_new', 'G_cough']|,0.975501274,911.8117011,5117.359593,4973.621526
|['new_cases_last_week', 'T_CU_new', 'T_CU_lockdown']|,0.974189591,916.6881283,5163.246629,5487.259081
|['new_cases_last_week', 'T_CU_new', 'T_CU_covid']|,0.975566651,944.6081717,4458.723939,5279.808677
|['new_cases_last_week', 'T_CU_new', 'T_GB_social-distancing']|,0.975357503,962.9838169,3121.457072,3125.941396
|['new_cases_last_week', 'T_CU_new', 'T_GB_a-pandemic']|,0.976323009,1002.791008,2901.816656,2990.196825
|['new_cases_last_week', 'T_CU_new', 'T_CB_wave-of']|,0.974586619,1083.519314,2198.221459,2210.467107
|['new_cases_last_week', 'T_CU_new', 'new_cases_2w_ago']|,0.974766686,1086.155957,2794.011912,2777.128292
|['new_cases_last_week', 'T_CU_new', 'T_CB_new-covid']|,0.975983337,1158.712345,2794.011912,2966.418768
|['new_cases_last_week', 'T_CU_new', 'T_GB_the-pandemic']|,0.977526872,1166.400068,2901.816656,2834.751951
|['new_cases_last_week', 'T_CU_new', 'T_CB_coronavirus-cases']|,0.980057793,1204.845537,2794.011912,2787.860137
|['new_cases_last_week', 'T_CU_new', 'T_CU_toronto']|,0.975629008,1228.781073,2405.686019,1905.866558
|['new_cases_last_week', 'T_CU_new', 'T_CB_cases-today']|,0.978130985,1273.637884,2476.287716,2457.15932
|['new_cases_last_week', 'T_CU_new', 'T_CB_johns-hopkins']|,0.982996069,1338.218942,2901.816656,2990.837781
|['new_cases_last_week', 'T_CU_new', 'T_CU_hopkins']|,0.982996069,1338.218942,2901.816656,2990.837781
|['new_cases_last_week', 'T_CU_new', 'T_CB_surged-to']|,0.980937007,1429.688423,2794.011912,2781.135756
|['new_cases_last_week', 'T_CU_new', 'G_lockdown']|,0.977284613,6614.312893,2794.011912,2698.222635
