columns,lr_training_r2,lr_rmse,dt_rmse,gbdt_rmse
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'new_cases_2w_ago']|,0.979974750771617,201.1790527226656,3793.910483920253,3716.9787119276994
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'active_cases']|,0.9800251691795735,227.96033483963743,5472.895320577582,5441.5989422226285
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_cough']|,0.9822402283226316,717.1142540145566,3793.910483920253,3606.1928511499545
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_covid']|,0.9843207004769291,576.0951165284226,3793.910483920253,3608.610475897226
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_fatigue']|,0.9807986586721148,518.166080297753,3926.282423192028,3909.0286948654148
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_fever']|,0.9834386741997904,408.6366850105694,3793.910483920253,3689.0420003721674
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_flu']|,0.9800492553617357,253.34906145112157,3793.910483920253,3734.0019628355576
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_headache']|,0.9812319190272846,507.64573042928146,3793.910483920253,3789.2364533437158
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_lockdown']|,0.9825886416360058,6754.734794713054,3934.4767311738083,3838.2290293066476
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_sick']|,0.980221375937609,278.6843185403552,3793.910483920253,3278.7752002270418
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_symptoms']|,0.980009734275795,195.29623270413956,3793.910483920253,3653.755239351415
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_tired']|,0.9809847345314147,423.76524966222115,3793.910483920253,3812.9716040461026
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'G_virus']|,0.9861847692063739,543.8618677126215,3793.910483920253,3727.268253912358
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_canada-covid19']|,0.9800038988024886,209.97541662664105,3793.910483920253,3784.2567058551513
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_cases-today']|,0.982017121580426,835.8561816676773,3793.910483920253,3710.0086733735716
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_coronavirus-cases']|,0.9826269066062928,842.7700713813101,3793.910483920253,3672.47236035124
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_covid19-cases']|,0.9826867950401598,389.14469370473216,3793.910483920253,3684.3821616486107
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_have-increased']|,0.9804900404471902,353.2925908889161,3793.910483920253,3665.5779831870495
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_johns-hopkins']|,0.987650232978114,1011.5365723517441,3793.910483920253,3717.567249287624
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_new-covid']|,0.980869489720397,1229.571396150098,3793.910483920253,3683.5282911642203
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_new-covid19']|,0.9839228865969833,341.81539933442593,3793.910483920253,3768.413440607859
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_social-distancing']|,0.9800188864504129,222.10531723983624,3793.910483920253,3695.7764504685615
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_spread-of']|,0.9800069053230958,205.1676304899071,3793.910483920253,3703.7181181715805
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_surged-to']|,0.9859597494251803,996.9771469276178,3793.910483920253,3712.252838094629
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_tested-positive']|,0.9801376175818516,198.3505127211285,3793.910483920253,3699.9020996712106
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CB_wave-of']|,0.9806470256445717,537.4873560331945,3793.910483920253,3654.574554432889
|['new_cases_last_week', 'T_CU_new', 'T_GU_restrictions', 'T_CB_covid19-pandemic', 'T_CU_deaths', 'T_CB_covid-cases', 'T_GB_tested-positive', 'T_CU_tests', 'T_CU_case']|,0.9801056706646553,261.4946776255736,3793.910483920253,3748.214026506471
